Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Vendor,Src. Int.,Src. Zone,Dst. MAC,Dst. Vendor,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,DPI,Notes,Message,HTTP Referer,IP,AbuseScore,Country,ISP,Domain,TotalReports,LastReportedAt
03/26/2025 15:10:59,1684,Network,Network Access,SSL Error,Standard Message String,Information,,,,X1,,,,X1,,141.98.11.116,62226.0,,,,,217.124.116.61,4443.0,,,,,tcp,,,,,,,,,,,,,,,,,,,,Error1 L=20 F=143 R=267 ssl3_get_record,SSL Error : wrong version number,,141.98.11.116,100,Lithuania,UAB Host Baltic,serveroffer.lt,1027,2025-05-05T12:06:56+00:00
03/26/2025 15:16:26,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,65.49.1.238,39155.0,,,,,217.124.116.61,22122.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,65.49.1.238,100,United States of America,"The Shadowserver Foundation, Inc.",shadowserver.org,1819,2025-05-05T15:50:58+00:00
03/26/2025 15:22:46,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,139.59.33.84,34496.0,,,,,217.124.116.61,5125.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,139.59.33.84,100,India,"DigitalOcean, LLC",digitalocean.com,7467,2025-05-05T15:50:53+00:00
03/26/2025 15:35:25,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,64.62.197.127,46425.0,,,,,217.124.116.61,20547.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,64.62.197.127,100,United States of America,"The Shadowserver Foundation, Inc.",shadowserver.org,3314,2025-05-05T11:03:43+00:00
03/26/2025 15:39:48,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,165.154.135.215,43555.0,,,,,217.124.116.61,7321.0,,,,,tcp,,,60.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,165.154.135.215,100,United States of America,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,ucloud.cn,1782,2025-05-05T15:03:27+00:00
03/26/2025 15:46:13,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,213.142.159.241,22.0,,,,,217.124.116.61,22.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service SSH,drop,,TCP Flag(s): SYN,TCP packet dropped,,213.142.159.241,100,Turkey,HOSTING DUNYAM BILGI ILETISIM TEKNOLOJILERI TICARET LIMITED SIRKETI,hostingdunyam.com.tr,2268,2025-05-05T04:22:29+00:00
03/26/2025 16:00:45,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,65.49.1.231,40493.0,,,,,217.124.116.61,1098.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services,drop,,TCP Flag(s): SYN,TCP packet dropped,,65.49.1.231,100,United States of America,"The Shadowserver Foundation, Inc.",shadowserver.org,1606,2025-05-05T15:44:08+00:00
03/26/2025 16:02:45,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,128.203.203.196,60911.0,,,,,217.124.116.61,2455.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services,drop,,TCP Flag(s): SYN,TCP packet dropped,,128.203.203.196,100,United States of America,Microsoft Limited,microsoft.com,635,2025-05-05T14:32:12+00:00
03/26/2025 16:04:56,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,154.212.141.253,58914.0,,,,,217.124.116.61,8080.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service Tivo TCP Data,drop,,TCP Flag(s): SYN,TCP packet dropped,,154.212.141.253,100,Hong Kong,CloudInnovation infrastructure,cloudinnovation.org,16063,2025-05-05T15:40:43+00:00
03/26/2025 16:06:00,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,199.45.154.190,37014.0,,,,,217.124.116.61,8443.0,,,,,tcp,,,60.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,199.45.154.190,100,Hong Kong,"Censys, Inc.",censys.com,9624,2025-05-05T15:40:31+00:00
03/26/2025 16:10:08,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,57.128.230.106,51444.0,,,,,217.124.116.61,587.0,,,,,tcp,,,52.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,57.128.230.106,100,Poland,OVH Sp. z o. o.,ovh.net,15810,2025-05-05T15:40:35+00:00
03/26/2025 16:18:35,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,89.248.165.13,55873.0,,,,,217.124.116.61,32000.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,89.248.165.13,100,Netherlands,RECYBER PROJECT NETBLOCK,recyber.net,2620,2025-05-05T15:14:20+00:00
03/26/2025 16:19:35,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,103.102.230.4,45758.0,,,,,217.124.116.61,8728.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,103.102.230.4,100,Canada,Skoali,skoali.com,24045,2025-05-05T15:52:18+00:00
